client_id,crm_city,count_cost,dealer_meet,crm_sale,event_date,ga_session_id
GA1.2.1029165320.1581675414,Zurich,0,1,0.0,2020-02-14,7
GA1.2.1029165320.1581675414,Zurich,0,0,0.0,2020-02-14,6
GA1.2.1029165320.1581675414,Zurich,1,1,0.0,2020-02-14,8
GA1.2.1029165320.1581675414,Zurich,0,0,0.0,2020-02-14,9
GA1.2.1029165320.1581675414,Zurich,0,0,0.0,2020-02-14,10
GA1.2.1235381720.1579517675,Zurich,0,0,0.0,2020-01-30,5
GA1.2.360702973.1573932024,Zurich,0,0,0.0,2020-01-28,1
GA1.2.1394084210.1579796276,Zurich,0,0,0.0,2020-01-27,3
GA1.2.1394084210.1579796276,Zurich,0,0,0.0,2020-01-23,2
GA1.2.1235381720.1579517675,Zurich,0,0,0.0,2020-01-20,4
GA1.2.1313175792.1581838527,Znamenskiy,0,0,0.0,2020-02-16,43
GA1.2.1800343555.1581771460,Znamenskiy,0,0,0.0,2020-02-15,31
GA1.2.304954032.1581398673,Znamenskiy,0,0,0.0,2020-02-11,19
GA1.2.1816828067.1581339408,Znamenskiy,0,0,0.0,2020-02-11,30
GA1.2.1579004785.1581451319,Znamenskiy,0,0,0.0,2020-02-11,34
GA1.2.1579004785.1581451319,Znamenskiy,0,0,0.0,2020-02-11,35
GA1.2.1579004785.1581451319,Znamenskiy,0,0,0.0,2020-02-11,36
GA1.2.1348051018.1581448980,Znamenskiy,0,0,0.0,2020-02-11,40
GA1.2.1348051018.1581448980,Znamenskiy,0,0,0.0,2020-02-11,41
GA1.2.1816828067.1581339408,Znamenskiy,1,1,0.0,2020-02-10,29
GA1.2.1706493163.1581168409,Znamenskiy,0,0,0.0,2020-02-08,32
GA1.2.1706493163.1581168409,Znamenskiy,0,0,0.0,2020-02-08,33
GA1.2.1292766094.1581168678,Znamenskiy,0,0,0.0,2020-02-08,44
GA1.2.1428049406.1580926871,Znamenskiy,0,0,0.0,2020-02-05,39
GA1.2.1314981900.1580852355,Znamenskiy,0,0,0.0,2020-02-05,42
GA1.2.1007261385.1580914901,Znamenskiy,0,1,0.0,2020-02-05,60
GA1.2.1007261385.1580914901,Znamenskiy,0,0,0.0,2020-02-05,61
GA1.2.549721398.1510366355,Znamenskiy,0,1,0.0,2020-02-03,17
GA1.2.30442711.1580751557,Znamenskiy,0,1,0.0,2020-02-03,20
GA1.2.2105111212.1580739615,Znamenskiy,0,0,0.0,2020-02-03,22
GA1.2.665761797.1580625458,Znamenskiy,0,1,0.0,2020-02-02,16
GA1.2.692564660.1580536354,Znamenskiy,0,0,0.0,2020-02-01,15
GA1.2.2076101325.1580276840,Znamenskiy,0,0,0.0,2020-01-29,23
GA1.2.2076101325.1580276840,Znamenskiy,0,0,0.0,2020-01-29,24
GA1.2.1038728109.1580320239,Znamenskiy,0,0,0.0,2020-01-29,56
GA1.2.1271606622.1579861858,Znamenskiy,0,0,0.0,2020-01-24,46
GA1.2.1286081618.1579767611,Znamenskiy,0,0,0.0,2020-01-23,45
GA1.2.958376823.1579527705,Znamenskiy,0,0,0.0,2020-01-20,11
GA1.2.372315202.1549443573,Znamenskiy,0,0,0.0,2020-01-20,18
GA1.2.1169448376.1577861283,Znamenskiy,1,1,1.0,2020-01-19,55
GA1.2.1169448376.1577861283,Znamenskiy,0,0,0.0,2020-01-19,54
GA1.2.1018561850.1552974394,Znamenskiy,0,0,0.0,2020-01-18,58
GA1.2.2125278522.1579002152,Znamenskiy,0,0,0.0,2020-01-14,21
GA1.2.1253509484.1578932185,Znamenskiy,0,0,0.0,2020-01-13,47
GA1.2.1253509484.1578932185,Znamenskiy,0,0,0.0,2020-01-13,48
GA1.2.1253509484.1578932185,Znamenskiy,0,0,0.0,2020-01-13,49
GA1.2.753192279.1577861182,Znamenskiy,0,0,0.0,2020-01-12,14
GA1.2.1933002021.1578215583,Znamenskiy,0,0,0.0,2020-01-12,25
GA1.2.1933002021.1578215583,Znamenskiy,0,0,0.0,2020-01-12,26
GA1.2.1169448376.1577861283,Znamenskiy,0,0,0.0,2020-01-12,53
GA1.2.1169448376.1577861283,Znamenskiy,0,0,0.0,2020-01-12,52
GA1.2.1020409757.1577211365,Znamenskiy,0,0,0.0,2020-01-10,57
GA1.2.880673983.1578474516,Znamenskiy,0,0,0.0,2020-01-09,13
GA1.2.1842772195.1578596499,Znamenskiy,0,0,0.0,2020-01-09,28
GA1.2.880673983.1578474516,Znamenskiy,0,0,0.0,2020-01-08,12
GA1.2.1532871265.1578403677,Znamenskiy,1,1,0.0,2020-01-08,38
GA1.2.1870249653.1578400452,Znamenskiy,0,0,0.0,2020-01-07,27
GA1.2.1532871265.1578403677,Znamenskiy,0,0,0.0,2020-01-07,37
GA1.2.1007566711.1578389029,Znamenskiy,0,0,0.0,2020-01-07,59
GA1.2.1169448376.1577861283,Znamenskiy,0,0,0.0,2020-01-01,51
GA1.2.1169448376.1577861283,Znamenskiy,0,0,0.0,2020-01-01,50
GA1.2.172612889.1581947825,Zhytomyr,0,0,0.0,2020-02-17,63
GA1.2.744478207.1580078812,Zhytomyr,0,0,0.0,2020-01-27,62
GA1.2.2108392846.1581682215,Zhukovskiy,0,0,0.0,2020-02-14,71
GA1.2.2108392846.1581682215,Zhukovskiy,0,0,0.0,2020-02-14,72
GA1.2.28624204.1581149997,Zhukovskiy,0,0,0.0,2020-02-08,69
GA1.2.894152205.1580993280,Zhukovskiy,0,0,0.0,2020-02-06,64
GA1.2.1460486109.1580801464,Zhukovskiy,0,0,0.0,2020-02-04,84
GA1.2.1440480846.1580476941,Zhukovskiy,0,1,0.0,2020-01-31,85
GA1.2.1588772039.1580301298,Zhukovskiy,0,0,0.0,2020-01-29,83
GA1.2.1310262158.1580230104,Zhukovskiy,0,0,0.0,2020-01-28,86
GA1.2.246432877.1579886873,Zhukovskiy,0,0,0.0,2020-01-24,70
GA1.2.1964474922.1579846012,Zhukovskiy,1,1,0.0,2020-01-24,76
GA1.2.1952782429.1579771817,Zhukovskiy,1,1,1.0,2020-01-23,77
GA1.2.865715935.1579333267,Zhukovskiy,0,0,0.0,2020-01-19,67
GA1.2.865715935.1579333267,Zhukovskiy,0,0,0.0,2020-01-18,65
GA1.2.865715935.1579333267,Zhukovskiy,0,0,0.0,2020-01-18,66
GA1.2.173293662.1579367819,Zhukovskiy,0,0,0.0,2020-01-18,82
GA1.2.173293662.1579367819,Zhukovskiy,1,1,1.0,2020-01-18,81
GA1.2.1232581467.1579367645,Zhukovskiy,0,0,0.0,2020-01-18,88
GA1.2.1882710947.1579257545,Zhukovskiy,0,1,0.0,2020-01-17,78
GA1.2.730155452.1579099537,Zhukovskiy,0,1,0.0,2020-01-15,68
GA1.2.1849190337.1578999614,Zhukovskiy,0,0,0.0,2020-01-14,79
GA1.2.1203396040.1577627772,Zhukovskiy,1,1,0.0,2020-01-10,89
GA1.2.1775135381.1572796348,Zhukovskiy,0,0,0.0,2020-01-07,80
GA1.2.1304137270.1578264296,Zhukovskiy,0,1,0.0,2020-01-06,87
GA1.2.120264286.1578131779,Zhukovskiy,0,0,0.0,2020-01-04,90
GA1.2.2018910302.1577997798,Zhukovskiy,0,0,0.0,2020-01-03,75
GA1.2.2018910302.1577997798,Zhukovskiy,0,0,0.0,2020-01-02,73
GA1.2.2018910302.1577997798,Zhukovskiy,0,0,0.0,2020-01-02,74
GA1.2.1707985025.1579800479,Zhengzhou,0,1,0.0,2020-01-23,91
GA1.2.29616218.1579769299,Zheleznogorsk,0,0,0.0,2020-01-23,92
GA1.2.1769684862.1578503953,Zheleznogorsk,0,0,0.0,2020-01-08,93
GA1.2.959486017.1580555617,Zheleznodorozhny,0,0,0.0,2020-02-08,95
GA1.2.959486017.1580555617,Zheleznodorozhny,0,0,0.0,2020-02-01,94
GA1.2.2094940656.1580237773,Zheleznodorozhny,0,0,0.0,2020-01-28,97
GA1.2.627478469.1578464233,Zheleznodorozhny,0,0,0.0,2020-01-08,96
GA1.2.1407907657.1578224643,Zheleznodorozhny,0,0,0.0,2020-01-05,98
GA1.2.878543682.1579350332,Zaporizhzhia,0,0,0.0,2020-01-18,99
GA1.2.343495629.1578167900,Zaporizhzhia,0,0,0.0,2020-01-05,101
GA1.2.343495629.1578167900,Zaporizhzhia,0,0,0.0,2020-01-04,100
GA1.2.2064636157.1580841321,Zamosc,0,0,0.0,2020-02-04,102
GA1.2.1565699069.1552891598,Zagreb,0,0,0.0,2020-01-04,103
GA1.2.528071332.1573966567,Yuzhnyy,0,0,0.0,2020-02-15,114
GA1.2.676526317.1581686912,Yuzhnyy,0,0,0.0,2020-02-14,111
GA1.2.446385409.1581259601,Yuzhnyy,1,1,1.0,2020-02-14,117
GA1.2.30273961.1581621806,Yuzhnyy,0,0,0.0,2020-02-13,122
GA1.2.1372670285.1581582884,Yuzhnyy,0,0,0.0,2020-02-13,141
