GA1.2.1000037439.1576672694,NULL,NULL,NULL,1,2,1,100.00,17.01.2020,17.01.2020,NULL,NULL,NULL,NULL
GA1.2.1000100466.1580498751,NULL,NULL,NULL,1,14,0,0.00,31.01.2020,31.01.2020,NULL,NULL,NULL,NULL
GA1.2.1000144581.1577322293,NULL,NULL,NULL,1,4,0,3465.00,01.01.2020,01.01.2020,NULL,NULL,NULL,NULL
GA1.2.1000154585.1581097166,NULL,NULL,NULL,1,8,1,196.00,07.02.2020,07.02.2020,NULL,NULL,NULL,NULL
GA1.2.1000156589.1580366503,NULL,NULL,NULL,1,6,1,0.00,30.01.2020,30.01.2020,NULL,NULL,NULL,NULL
GA1.2.1000156620.1572694079,NULL,NULL,NULL,2,24,0,305.00,10.01.2020,10.01.2020,NULL,NULL,NULL,NULL
GA1.2.1000292707.1579328888,NULL,NULL,NULL,1,8,1,725.00,18.01.2020,18.01.2020,NULL,NULL,NULL,NULL
GA1.2.1000341704.1580586777,NULL,NULL,NULL,1,2,0,80.00,01.02.2020,01.02.2020,NULL,NULL,NULL,NULL
GA1.2.1000357178.1578084558,NULL,NULL,NULL,1,6,1,84.00,03.01.2020,03.01.2020,NULL,NULL,NULL,NULL
GA1.2.1000366027.1579210553,NULL,NULL,NULL,2,6,0,103.00,17.01.2020,17.01.2020,NULL,NULL,NULL,NULL
GA1.2.1000383601.1580540296,NULL,NULL,NULL,2,6,1,0.00,01.02.2020,02.02.2020,NULL,NULL,NULL,NULL
GA1.2.1000469963.1581322161,NULL,NULL,NULL,1,4,1,502.00,10.02.2020,10.02.2020,NULL,NULL,NULL,NULL
GA1.2.100049596.1581770121,NULL,NULL,NULL,1,6,1,0.00,15.02.2020,15.02.2020,NULL,NULL,NULL,NULL
GA1.2.100050473.1580143006,NULL,NULL,NULL,1,2,0,0.00,27.01.2020,27.01.2020,NULL,NULL,NULL,NULL
GA1.2.1000513003.1580567362,NULL,NULL,NULL,1,2,1,0.00,01.02.2020,01.02.2020,1,2200000.0000000000000,484000.000000,01.02.2020
GA1.2.1000565801.1580044842,NULL,NULL,NULL,6,90,1,622.00,26.01.2020,02.02.2020,NULL,NULL,NULL,NULL
GA1.2.1000606965.1580924225,NULL,NULL,NULL,1,4,0,121.00,05.02.2020,05.02.2020,NULL,NULL,NULL,NULL
GA1.2.1000612087.1575973500,NULL,NULL,NULL,1,10,0,83.00,02.01.2020,02.01.2020,NULL,NULL,NULL,NULL
GA1.2.1000620651.1580282277,NULL,NULL,NULL,1,4,1,0.00,29.01.2020,29.01.2020,NULL,NULL,NULL,NULL
GA1.2.1000652898.1580651990,NULL,NULL,NULL,2,4,1,11778.00,02.02.2020,02.02.2020,1,3595876.0000231992000,1258556.600008,02.02.2020
GA1.2.1000678078.1581327300,NULL,NULL,NULL,1,2,0,491.00,10.02.2020,10.02.2020,NULL,NULL,NULL,NULL
GA1.2.1000680669.1578744331,NULL,NULL,NULL,1,4,0,211.00,11.01.2020,11.01.2020,NULL,NULL,NULL,NULL
GA1.2.1000731719.1568144493,NULL,NULL,NULL,1,2,1,0.00,12.01.2020,12.01.2020,NULL,NULL,NULL,NULL
GA1.2.1000772377.1571408432,NULL,NULL,NULL,5,92,2,947.00,12.01.2020,13.01.2020,NULL,NULL,NULL,NULL
GA1.2.1000959069.1581063222,NULL,NULL,NULL,2,22,1,224.00,07.02.2020,07.02.2020,NULL,NULL,NULL,NULL
GA1.2.1001053885.1579010896,NULL,NULL,NULL,1,4,0,0.00,14.01.2020,14.01.2020,NULL,NULL,NULL,NULL
GA1.2.1001054513.1580205060,NULL,NULL,NULL,1,4,0,610.00,28.01.2020,28.01.2020,NULL,NULL,NULL,NULL
GA1.2.1001055536.1581692969,NULL,NULL,NULL,1,2,1,198.00,14.02.2020,14.02.2020,NULL,NULL,NULL,NULL
GA1.2.1001058128.1578069484,NULL,NULL,NULL,1,4,0,0.00,03.01.2020,03.01.2020,NULL,NULL,NULL,NULL
GA1.2.1001120130.1578826276,NULL,NULL,NULL,2,24,1,0.00,12.01.2020,12.01.2020,NULL,NULL,NULL,NULL
GA1.2.1001125346.1578041129,NULL,NULL,NULL,1,10,0,0.00,03.01.2020,03.01.2020,NULL,NULL,NULL,NULL
GA1.2.1001142959.1581879591,NULL,NULL,NULL,3,24,2,0.00,16.02.2020,17.02.2020,NULL,NULL,NULL,NULL
GA1.2.1001222124.1578260329,NULL,NULL,NULL,1,2,0,132.00,06.01.2020,06.01.2020,NULL,NULL,NULL,NULL
GA1.2.1001232286.1564139610,NULL,NULL,NULL,1,6,1,101.00,18.01.2020,18.01.2020,NULL,NULL,NULL,NULL
GA1.2.100127757.1579178167,NULL,NULL,NULL,1,2,1,0.00,16.01.2020,16.01.2020,NULL,NULL,NULL,NULL
GA1.2.1001283967.1581897408,NULL,NULL,NULL,3,10,3,91.00,17.02.2020,17.02.2020,NULL,NULL,NULL,NULL
GA1.2.1001322588.1575041368,NULL,NULL,NULL,65,243,28,71057.00,03.01.2020,10.02.2020,5,13600000.0000000000000,3227500.000000,08.02.2020
GA1.2.1001331773.1580910699,NULL,NULL,NULL,1,4,1,0.00,05.02.2020,05.02.2020,NULL,NULL,NULL,NULL
GA1.2.100134760.1581321570,NULL,NULL,NULL,1,4,1,90.00,10.02.2020,10.02.2020,NULL,NULL,NULL,NULL
GA1.2.1001400959.1578064657,NULL,NULL,NULL,1,2,0,0.00,03.01.2020,03.01.2020,NULL,NULL,NULL,NULL
GA1.2.1001482463.1578032753,NULL,NULL,NULL,3,16,0,148.00,03.01.2020,09.01.2020,NULL,NULL,NULL,NULL
GA1.2.1001553038.1580145258,NULL,NULL,NULL,1,14,1,0.00,27.01.2020,27.01.2020,NULL,NULL,NULL,NULL
GA1.2.1001573879.1577516064,NULL,NULL,NULL,5,58,4,209.00,01.01.2020,12.01.2020,NULL,NULL,NULL,NULL
